feature,importance
ema_50,0.08733506091310486
atr,0.0732912538731658
ma_50,0.07323055488831487
vol_rolling_std_20,0.07216357229716759
ma_10,0.06471548377378937
bb_upper,0.06439941452846391
rsi,0.059156722066259666
obv,0.05862671547820959
bb_lower,0.05827027091049358
macd,0.05714737739388636
ma_20,0.0493114302627156
price_z,0.04808881165340416
dist_vwap,0.0477914387492977
ret_6,0.04413742379343026
volume,0.04322739459249206
momentum_12,0.041598839276553785
ret_3,0.029037994338324675
ret_1,0.02847024121092618
