feature,importance
atr,0.08165626146435544
ma_50,0.07783104879335825
vol_rolling_std_20,0.0774386819509703
bb_upper,0.07358565363338217
ema_50,0.0689726775680226
rsi,0.06340316919351408
ma_20,0.06284455139882766
dist_vwap,0.06128459429882698
obv,0.054772490855458045
macd,0.05477204244059046
bb_lower,0.054377750227051075
price_z,0.050343527031401006
ma_10,0.050158818364730996
momentum_12,0.04326500633262709
volume,0.04093559036464249
ret_6,0.029904096740789546
ret_3,0.027589568117204255
ret_1,0.026864471224247653
