feature,importance
ema_50,0.08447358774965676
atr,0.08173845900615245
obv,0.07350869330569343
ma_50,0.06661861777250716
bb_lower,0.06572546605659847
ma_10,0.06501383817731651
bb_upper,0.06261034698584242
macd,0.057913642060004274
dist_vwap,0.05773295674964625
ma_20,0.05447506305044651
rsi,0.05300758793691166
price_z,0.050403063113651454
vol_rolling_std_20,0.045977191615923105
ret_6,0.04235169821940328
momentum_12,0.04200187938697177
volume,0.03426673918334671
ret_3,0.031976379659779355
ret_1,0.03020478997014858
