feature,importance
atr,0.10942942297912879
ema_50,0.08478978297203886
ma_50,0.08267501557051829
obv,0.07488938982099781
vol_rolling_std_20,0.07371580932658675
rsi,0.0655771462253371
bb_upper,0.05650884135408169
macd,0.055687289989604496
ma_20,0.05508084095341591
bb_lower,0.05361562931620755
ma_10,0.04426538055568002
momentum_12,0.04379751944576023
price_z,0.04052832478492563
dist_vwap,0.03694299991314171
ret_6,0.034784453937374796
volume,0.032319638429579835
ret_1,0.027713693126878127
ret_3,0.027678821298742363
